Dizi Adı,Senarist,Yönetmen,Başrol,Ülke,Kanal,Durumu,Konu,Sezon Sayısı,Bölüm Sayısı,Yapımcı,Yayın tarihi,Platform,Tema Müziği Bestecisi
"Masum, Link",Berkun Oya,Seren Yüce,Haluk BilginerNur SürerAli AtayOkan YalabıkSerkan KeskinTülin ÖzenBartu Küçükçağlayan,Türkiye,,Sona erdi,"Masum, senaryosunu Berkun Oya'nın yazdığı, yönetmenliğini Seren Yüce'nin yaptığı, Türk yapımı polisiye, suç ve drama türündeki internet dizisi. Dizi, Berkun Oya'nın yazdığı Bayrak adlı oyundan uyarlanmıştır. BluTV üzerinden yayımlanmıştır.[2]",1,8[1],,27 Ocak 2017 - 17 Şubat 2017,BluTV,
"Meryem, Link",Meryem Gültabakİlke Gürsoy,Barış Erçetin,Furkan Andıç Ayça Ayşin Turan Cemal Toktaş,Türkiye,Kanal D,Sona erdi,"Meryem, TMC Film imzalı, yapımcılığını Erol Avcı'nın, yönetmenliğini ise Barış Erçetin'in üstlendiği, başrollerini Ayça Ayşin Turan, Furkan Andıç ve Cemal Toktaş'ın paylaştığı aşk ve dram türündeki Türk televizyon dizisidir. Dizi, 28 Şubat 2018 tarihinde yayımlanan 30. bölümüyle final yaparak sona ermiştir.",1,30,Erol Avcı,2 Ağustos 2017 - 28 Şubat 2018,,
"Nerdesin Birader, Link",Sahne 77,Emre Kabakuşak,Timur AcarGonca SarıyıldızHakan BilginRuhi SarıSeren Deniz YalçınDeniz Can Aktaş,Türkiye,FOX,Sona erdi,"Nerdesin Birader, Film Evi Yapım imzalı, 2017 yılında FOX'ta yayımlanan komedi ve aşk türündeki Türk televizyon dizisidir. Dizi, 4. bölümü ile final yaparak sona erdi.",1,4 (bölümleri listesi),Erol DemirDilek Yorulmaz,8 Kasım 2017 - 29 Kasım 2017,,
"Ölene Kadar, Link",Elif Usman Ergüden,Umur TuragayFeride Kaytan,Engin AkyürekFahriye EvcenSarp LevendoğluGülcan ArslanTansu BiçerFerdi SancarDemir KarahanDidem BalçınMesut AkustaRagıp SavaşLale MansurAvni Yalçın  Zeki Eker,Türkiye,atv,Sona erdi,"Ölene Kadar, Tims Productions imzalı, 2017 yılında atv'de yayımlanmış olan dram ve aşk türündeki Türk televizyon dizisidir. Dizi, 13. bölümü ile final yaparak sona erdi.",1,13,Timur Savcı,12 Ocak 2017 - 13 Nisan 2017,,
"Payitaht Abdülhamid, Link",Osman BodurUğur UzunokAyça Mutlugil Hamza Akyıldız,Serdar AkarEmre KonukDoğan Ümit Karaca[1],Bülent İnalÖzlem ConkerSaygın SoysalEzgi EyüboğluAkın AkınözüHakan BoyavSelen ÖztürkEren HacısalihoğluBahadır YenişehirlioğluVildan AtaseverErkan AvcıGürkan Uygunİsmail Hakkı Ürün,Türkiye,TRT 1,Sona erdi,"Payitaht Abdülhamid, yapımını Es Film'in üstlendiği, yönetmenliğini Serdar Akar'ın, senaristliğini Uğur Uzunok, Ayça Mutlugil ve Hamza Akyıldız’ın yaptığı tarihî, kurgu, aksiyon ve dram türündeki Türk televizyon dizisidir. Dizi, 24 Şubat 2017 tarihinde TRT 1'de yayımlanmaya başlamıştır. Dizi, 34. Osmanlı Padişahı II. Abdülhamid'in saltanatının son 13 yılında (1896-1909) geçmektedir.[2] 5 sezondan oluşan dizi, 4 Haziran 2021 tarihinde yayımlanan 154. bölümü ile final yaparak sona ermiştir.",5,154,Yusuf EsenkalSerdar Öğretici,24 Şubat 2017 - 4 Haziran 2021,,
"Rüya, Link",Ece Yörenç,Cemal Şan,Hazal Filiz KüçükköseCeyhun Mengiroğlu,Türkiye,Show TV,Sona erdi,"Rüya, Gold Film imzalı, yönetmenliğini Cemal Şan'ın yaptığı, başrollerini Hazal Filiz Küçükköse ve Ceyhun Mengiroğlu'nun paylaştıkları Show TV'de yayımlanan dram ve romantik türdeki Türk televizyon dizisidir. Dizi, 24 Eylül 2017 tarihinde yayımlanan 10. bölümü ile final yaparak sona ermiştir.",1,10,Faruk Turgut,18 Temmuz 2017 - 24 Eylül 2017,,
"Sahipli, Link",Alper Mestçi,Alper Mestçi,Funda GürayBaran Akbulut,Türkiye,,Sona erdi,"Sahipli, BluTV özel içeriği olarak 2017 yılında  Alper Mestçi'nin yönetmenliğini yaptığı korku ve gerilim türündeki Türk yapımı internet dizisidir. Dizi, D Productions yapımcılığında çekilmiştir.[1]",1,10,D Productions,24 Şubat 2017 - 24 Mart 2017,BluTV,
"Savaşçı, Link",Süleyman Çobanoğlu,Volkan Kocatürk (1-8)Hakan İnan (8)Bülent İşbilen(9-10 / 42-48)Eray Koçak(9-10 / 100-109)Murat Saraçoğlu (11-41)Günay Günaydın (42)Doğan Ümit Karaca(43-76)Osman Taşcı (77-102)Şafak Bal (77-99),1. sezon,Türkiye,FOX (HD),Sona erdi,"Savaşçı, Limon Film imzalı, ilk bölümü 9 Nisan 2017 tarihinde yayımlanan, yönetmenliğini Volkan Kocatürk, Hakan İnan, Bülent İşbilen, Murat Saraçoğlu, Günay Günaydın, Doğan Ümit Karaca, Osman Taşcı, Şafak Bal ve Eray Koçak'ın üstlendiği, senaryosunu Süleyman Çobanoğlu'nun kaleme aldığı Türk yapımı askeri ve dram türündeki televizyon dizisidir.[1][2][3] 5 sezondan oluşan dizi, 12 Haziran 2021 tarihinde yayımlanan 109. bölümüyle final yaparak sona erdi.",5,109 (bölümleri listesi),Hayri Aslan,9 Nisan 2017 - 12 Haziran 2021,,
"Seni Kimler Aldı, Link",Pınar Uysal,Sadullah Şentürk,Merve AnlağanYunus GünçeFulya ZenginerDuygu YetişSerhan YavaşYiğit Kirazcı,Türkiye,atv,Sona erdi,"Seni Kimler Aldı, Pastel Film imzalı, ilk bölümü 30 Nisan 2017 tarihinde yayımlanan dram türündeki Türk televizyon dizisidir. Dizi, 9 Temmuz 2017 tarihinde yayımlanan 10. bölümü ile final yaparak sona erdi.",1,10,Yaşar İrvülEfe İrvül,30 Nisan 2017 - 9 Temmuz 2017,,
"Sevda'nın Bahçesi, Link",Birol GüvenMurat Aras,Emir Khalilzadeh,Sibel CanEmre KınayBegüm KütükMehmet Bozdoğan,Türkiye,Kanal D,Sona erdi,"Sevda'nın Bahçesi, Gold Film imzalı, yapımcılığını Faruk Turgut'un, yönetmenliğini ise Emir Khalilzadeh'in üstlendiği, başrollerini Sibel Can, Emre Kınay ve Begüm Kütük'ün paylaştığı dram ve aşk türündeki Türk televizyon dizisidir. Dizi, 19 Ekim 2017 tarihinde yayımlanan 4. bölümü ile final yaparak sona erdi.",1,4,Faruk Turgut,23 Eylül 2017 - 19 Ekim 2017,,
"Seven Ne Yapmaz, Link",Bazı Filmler Yazı Grubu,Bora Onur,Yusuf ÇimSeren Şirince,Türkiye,atv,Sona erdi,"Seven Ne Yapmaz, MF Yapım imzalı, ilk bölümü 6 Eylül 2017 tarihinde yayımlanan, yönetmenliğini Bora Onur’un yaptığı, atv'de yayımlanan aşk ve romantik  türdeki Türk yapımı televizyon dizisidir. Başrollerini Yusuf Çim ve Seren Şirince paylaşmıştır. Dizi, 15 Kasım 2017 tarihinde yayımlanan 11. bölümü ile final yaparak sona ermiştir.",1,11,Faruk Bayhan,6 Eylül 2017 (2017-09-06) - 15 Kasım 2017 (2017-11-15),,
"Siyah Beyaz Aşk, Link",Eylem CanpolatSema Ergenekon,Yasin Uslu,İbrahim ÇelikkolBirce Akalay,Türkiye,Kanal D,Sona erdi,"Siyah Beyaz Aşk, D Productions imzalı, ilk bölümü 16 Ekim 2017 tarihinde yayımlanan, yönetmen koltuğuna Yasin Uslu'nun oturduğu, senaristliğini Eylem Canpolat ve Sema Ergenekon'un yaptığı, başrollerini İbrahim Çelikkol ve Birce Akalay’ın paylaştığı, Kanal D'de yayımlanan dram ve aşk türündeki Türk televizyon dizisidir. Dizi, 28 Mayıs 2018 tarihinde yayımlanan 32. bölümüyle final yaparak sona ermiştir.",1,32 (bölümleri listesi),Lale ErenAyşe Elif Durmaz,16 Ekim 2017 - 28 Mayıs 2018,,
"Siyah İnci, Link",Berkun OyaNuran Evren Şit,Cem KarcıBenal Tairi,Tolgahan SayışmanHande Erçel,Türkiye,Star TV,Sona erdi,"Siyah İnci, Gold Film imzalı, 2017-2018 yılları arasında Star TV'de yayımlanan dram ve aşk  türündeki Türk televizyon dizisidir. Dizi, 20. bölümü ile final yaparak sona erdi.[1]",1,20,Faruk Turgut,28 Eylül 2017 - 15 Şubat 2018,,
"Söz, Link",Ethem ÖzışıkHakan BonomoErcan Uğur,Yağız Alp Akaydın,Tolga SarıtaşAybüke PusatDeniz Baysal YurtcuSerhat KılıçSarp AkkayaNihat AltınkayaAytaç ŞaşmazMehmet ÖzgürMeriç AralBurak SevinçGörkem SevindikEren VurdemMustafa YıldıranDoğukan PolatÇağan Atakan Arslan,Türkiye,Star TV,Sona erdi,"Söz, Tims&B Productions imzalı, ilk bölümü 3 Nisan 2017 tarihinde yayımlanan, yönetmenliğini Yağız Alp Akaydın’ın yaptığı, senaryosunu Ethem Özışık, Hakan Bonomo ve Ercan Uğur'un birlikte kaleme aldıkları askeri, aksiyon, savaş ve dram türündeki Türk yapımı televizyon dizisi.[1] 3 sezondan oluşan dizi, 27 Mayıs 2019 tarihinde yayımlanan 84. bölümü ile final yaparak sona erdi.[2]",3,84 (bölümleri listesi),Timur SavcıBurak Sağyaşar,3 Nisan 2017 (2017-04-03) - 27 Mayıs 2019 (2019-05-27),,
"Şevkat Yerimdar, Link",Erol HızarcıMeltem Çitci,Bülent İşbilenSelin Kılıçaslan,Özgürcan ÇevikBaşak Parlak,Türkiye,FOX,Yayından kaldırıldı,"Şevkat Yerimdar, Limon Film imzalı, 2017-2018 yılları arasında FOX'ta yayımlanan komedi türündeki Türk televizyon dizisidir. İlk bölümü 26 Mayıs 2017 tarihinde yayımlanan dizinin yönetmenliği Bülent İşbilen'e, senaryosu Erol Hızarcı'ya aittir. Dizinin başrollerini Özgürcan Çevik ve Başak Parlak paylaşmıştır. Dizinin senaryosu, daha önce aynı adla çekilmiş filmlerden bağımsızdır. Dizi, 30 Mart 2018 tarihinde yayımlanan 44. bölümü ile sezon finali yaparak yayından kaldırılmıştır.",1,44,Hayri Aslan,26 Mayıs 2017 - 30 Mart 2018,,
"Tutsak, Link",Gürkan Tanyas,Serhan Şahin,Pamir PekinGülper ÖzdemirCaner Şahin,Türkiye,Kanal D,Sona erdi,"Tutsak, 1441 Prodüksiyon imzalı, yönetmenliğini Serhan Şahin'in  yaptığı, başrollerini Pamir Pekin, Gülper Özdemir ve Caner Şahin'in paylaştıkları dram türündeki Türk televizyon dizisidir. Dizi,  9. bölümü ile final yaparak sona erdi.",1,9,İrfan Şahin,19 Eylül 2017 - 14 Kasım 2017,,
"Türk Malı, Link",Tayfun Güneyer,Jale Atabey,Şafak Sezer  Mehmet Ali Erbil  Hasibe Eren  Nergis Kumbasar,Türkiye,Star TV (HD) (2017),Sona erdi,"Türk Malı, Süreç Film imzalı, 28 Mayıs 2017’de Star TV’de yayımlanmaya başlayan durum komedisi türündeki Türk televizyon dizisidir. 15 Mart 2010’da Show TV'de yayımlanmaya başlayan ve 7 Ocak 2011’de 33. bölümü ile sona eren Türk Malı’nın 2. versiyonudur. Dizide Abiye’den boşanan Erman Kuzu’nun yeni hayatı anlatılmaktadır. Dizi, 2 sezondan oluşmaktadır ve 27 Eylül 2017’de yayımlanan 8. bölümü ile final yaparak sona ermiştir.",2,8,Ali Gündoğdu,28 Mayıs 2017 - 27 Eylül 2017,,
"Ufak Tefek Cinayetler, Link",Meriç Acemi,Ali BilginDeniz Yorulmazer,Gökçe BahadırAslıhan GürbüzBade İşçilTülin ÖzenMert Fırat,Türkiye,Star TV (HD),Sona erdi,"Ufak Tefek Cinayetler, Ay Yapım imzalı, ilk bölümü 24 Ekim 2017 tarihinde yayımlanan, yönetmenliğini Ali Bilgin ve Deniz Yorulmazer'in yaptığı, senaristliğini Meriç Acemi'nin yazdığı, başrollerini Gökçe Bahadır, Aslıhan Gürbüz, Bade İşcil, Tülin Özen ve Mert Fırat'ın paylaştığı, Star TV'de yayımlanan psikolojik gerilim, polisiye ve dram türündeki Türk televizyon dizisidir.[1] 2 sezondan oluşan dizi, 11 Aralık 2018 tarihinde yayımlanan 45. bölümü ile final yaparak sona ermiştir.",2,45,Kerem ÇatayPelin Diştaş,24 Ekim 2017 (2017-10-24) - 11 Aralık 2018 (2018-12-11),,Cem Öget
"Ver Elini Aşk, Link",Ayşe Ferda EryılmazNehir Erdem,Bora OnurDeniz YılmazHakan Eren,Ali İlSevda Erginci,Türkiye,Kanal D,Sona erdi,"Ver Elini Aşk, Salacak Yapım imzalı, yönetmenliğini Bora Onur, Deniz Yılmaz ve Hakan Eren'in yaptığı, başrollerini Ali İl, Sevda Erginci ve Köksal Engür'ün paylaştığı aşk ve romantik komedi türündeki Türk televizyon dizisidir. Dizi, 3 Aralık 2017 tarihinde yayımlanan 11. bölümü ile final yaparak sona erdi.",1,11,Ayça Aral Sarangil,7 Eylül 2017 - 3 Aralık 2017,,
"Yalaza, Link",Hasan Kaçan,Osman SınavMehmet Bahadır Er,Sinan AlbayrakDidem Balçınİpek TuzcuoğluHasan KaçanKadir Çöpdemir,Türkiye,TRT 1,Sona erdi,"Yalaza, yapımcılığını Sinegraf'ın, yönetmenliğini ise Osman Sınav ve Mehmet Bahadır Er’in üstlendiği, 2017-2018 yılları arasında TRT 1'de yayımlanan komedi ve aile türündeki Türk televizyon dizisidir. Başrollerini Sinan Albayrak, Didem Balçın, İpek Tuzcuoğlu, Hasan Kaçan ve Kadir Çöpdemir’in paylaştığı dizi, 5 Şubat 2018 tarihinde yayımlanan 20. bölümü ile final yaparak sona ermiştir.[1]",1,20,Osman Sınav,16 Eylül 2017 (2017-09-16) - 5 Şubat 2018 (2018-02-05),,
"Yeni Gelin, Link",Ersoy Güler,Ersoy GülerTülay Kocatürk,Jessica MayTolga Mendi,Türkiye,Show TV (HD),Sona erdi,"Yeni Gelin, Süreç Film imzalı, 11 Mart 2017 tarihinde Show TV'de yayımlanmaya başlayan, yönetmenliğini ve senaristliğini Ersoy Güler'in üstlendiği, başrollerinde Jessica May ve Tolga Mendi'nin yer aldığı komedi, aşk ve drama türündeki Türk yapımı televizyon dizisidir.[1] 3 sezondan oluşan dizi, 24 Kasım 2018 tarihinde yayımlanan 63. bölümüyle final yaparak sona ermiştir.",3,63 (bölümleri listesi),İnci Gündoğduİsmail Gündoğdu,11 Mart 2017 - 24 Kasım 2018,,Jingle TV  Feride Hilal Akın
"Yıldızlar Şahidim, Link",Yazı Odası,Yıldız Hülya Bilban(1-3)Serhat Çakıroğlu (4),Canan ErgüderMesut AkustaBerk CankatÖzge Gürel,Türkiye,Star TV,Sona erdi,"Yıldızlar Şahidim, Süreç Film imzalı, 2017 yılında Star TV'de yayımlanan Türk yapımı dram ve aşk  türündeki televizyon dizisi. İlk bölümü 27 Ocak 2017 tarihinde yayımlandı.[1] Dizinin başrollerinde Canan Ergüder, Mesut Akusta, Berk Cankat ve Özge Gürel yer almaktadır.[2] Dizi, 17 Şubat 2017 tarihinde yayımlanan 4. bölümü ile final yaparak sona ermiştir.[3]",1,4,Ali GündoğduAsena Bülbüloğlu,27 Ocak 2017 (2017-01-27) - 17 Şubat 2017 (2017-02-17),,
"Yüz Yüze, Link",Ethem Özışık,Osman Taşcı,Birkan SokulluSinem KobalTaner Ölmez,Türkiye,Show TV (HDTV),Yayından kaldırıldı,"Yüz Yüze, Tims Productions imzalı, 2017 yılında Show TV'de yayımlanan aksiyon ve dram türündeki Türk televizyon dizisidir. İlk bölümü 19 Ekim 2017 tarihinde yayımlandı ve 26 Ekim 2017 tarihinde ekrana gelen 2. bölümden sonra yayından kaldırılmıştır.",1,2,Timur SavcıBurak Sağyaşar,19 Ekim 2017 - 26 Ekim 2017,,
"46 Yok Olan, Link",Ercan Mehmet Erdem,Serdar Akar,Erdal Beşikçioğlu  Melis Birkan  Yasemin Allen,Türkiye,Star TV,Sona erdi,"46 Yok Olan, Nunova Film imzalı, 2016 yılında Star TV'de yayımlanan psikolojik gerilim ve suç türündeki Türk televizyon dizisidir.[1] Yönetmenliğini Serdar Akar’ın yaptığı dizide başrolleri Erdal Beşikçioğlu, Yasemin Allen ve Melis Birkan üstlendi.[2] Dizi, 27 Mart 2016 tarihinde Star TV'de yayımlanmaya başladı ve 24 Haziran 2016 tarihinde yayımlanan 13. bölümü ile final yaparak sona erdi.[3][4][5]",1,13,Kürşat Kayaoğlu,27 Mart 2016 - 24 Haziran 2016,,Onur Yüce
"Adını Sen Koy, Link",Başak Yazı Odası,Gül GüzelkayaAtilla CengizIrmak ÇengelFulya YavuzoğluMahir Aktaş,Erkan Meriç (1-365),Türkiye,"TRT 1(2016-2017, 1. sezon)Star TV(2017-2018, 2 ve 3. sezon)TV8(2018, 4. sezon)",Yayından kaldırıldı,"Adını Sen Koy, yönetmenliğini Fulya Yavuzoğlu ve Mahir Aktaş'ın birlikte üstlendiği, senaryosunu Başak Yaz Odası'ın yazdığı, İlk ve ikinci sezonun başrollerini Erkan Meriç ve Hazal Subaşı, Üçüncü ve dördüncü sezonun başrollerini Cenk Torun ve Deniz Durmaz'ın paylaştığı, ilk sezonu  TRT 1'de, 2 ve 3. sezonu Star TV'de ve son olan 4. sezonu ise TV8'de yayımlanan dram ve romantik  türdeki günlük yayımlanan Türk televizyon dizisi. Dizi, 13 Kasım 2018 tarihinde yayımlanan 397. bölümü ile yayından kaldırıldı. Toplam 4 sezondan oluşmaktadır.",4,397,Sevgi Birsel(1. sezon)Nazmiye Yılmaz(1-4. sezon),19 Eylül 2016 - 13 Kasım 2018,,
"Aile İşi, Link",Özgür Evren HeptürkFerhat Ergün,Jale Atabey,Ufuk ÖzkanPelin AkilHasibe ErenGülay BaltacıSait GenayMurat AkkoyunluCan BonomoÖzgür Emre YıldırımOsman Wöber,Türkiye,atv,Sona erdi,"Aile İşi, NTC Medya imzalı, yönetmenliğini Jale Atabey'in yaptığı, başrollerini Ufuk Özkan, Pelin Akil, Hasibe Eren, Gülay Baltacı, Sait Genay, Murat Akkoyunlu, Can Bonomo, Özgür Emre Yıldırım ve Osman Wöber'in paylaştıkları atv'de yayımlanan    dram, aile ve komedi türündeki Türk televizyon dizisidir. Dizi, 25 Mayıs 2016 tarihinde yayımlanan 13. bölümü ile final yaparak sona erdi.",1,13,Mehmet Yiğit Alp,17 Şubat 2016 - 25 Mayıs 2016,,Can BonomoCan SabanAli Rıza Şahenk
"Altınsoylar, Link",Serdar OğuzEsra Çetek YılmazerDeniz YeşilgünMelikşah AltuntaşZeynep Ocak,Türkan DeryaMurat Aksu,Aras AydınAyça Ayşin TuranŞebnem BozokluBennu YıldırımlarBurak SevinçCihat Tamer,Türkiye,Kanal D,Yayından kaldırıldı,"Altınsoylar, O3 Medya imzalı, 5 Kasım 2016 tarihinde Kanal D'de yayımlanmaya başlayan, başrollerini Aras Aydın, Ayça Ayşin Turan, Şebnem Bozoklu, Bennu Yıldırımlar, Burak Sevinç ve Cihat Tamer’in paylaştığı, senaristliğini Serdar Oğuz, Esra Çetek Yılmazer, Deniz Yeşilgün, Melikşah Altuntaş ve Zeynep Oçak’ın birlikte yaptığı, yönetmen koltuğuna Türkan Derya ve Murat Aksu'nun oturduğu Türk yapımı aşk, dram ve komedi türündeki televizyon dizisidir. Dizi, 19 Kasım 2016 tarihinde yayımlanan 3. bölümü ile yayından kaldırıldı.",1,3,Onur Güvenatam,5 Kasım 2016 - 19 Kasım 2016,,
"Anne, Link",Berfu ErgenokonMerve Gür,Merve GirginNadim Güç,Cansu DereVahide PerçinBeren Gökyıldız,Türkiye,Star TV,Sona erdi,"Anne, yapımcılığını Medyapım ve MF Yapım'ın ortak üstlendiği, senaryosunu Berfu Ergenekon'un yazdığı aile ve dram türündeki Türk televizyon dizisidir. 9. bölümünden itibaren Merve Gür senaryoyu uyarlamıştır. Dizinin başrollerini Cansu Dere, Vahide Perçin ve Beren Gökyıldız paylaşmaktadır. Japonyadaki ""Mother"" dizisinin Türkiye uyarlamasıdır. Gerçek senaryo ""Yuji Sakamoto""ya aittir. Dizi, 25 Ekim 2016 tarihinde Star TV'de yayımlanmaya başladı [1] ve 20 Haziran 2017 tarihinde yayımlanan 33. bölümü ile final yaparak sona ermiştir.",1,33,Fatih AksoyFaruk Bayhan,25 Ekim 2016 - 20 Haziran 2017,,Aytekin Ataş
"Arkadaşlar İyidir, Link",Ekin Atalar,Zeynep Günay,Aslı Melisa Uzunİdris Nebi TaşkanSu KutluAkın AkınözüHayal Köseoğlu,Türkiye,Show TV,Sona erdi,"Arkadaşlar İyidir, O3 Medya imzalı, 28 Ağustos 2016 tarihinde Show TV'de yayımlanmaya başlayan, başrollerini Aslı Melisa Uzun, İdris Nebi Taşkan, Su Kutlu, Akın Akınözü ve Hayal Köseoğlu’nun paylaştığı, senaristliğini Ekin Atalar'ın yaptığı, yönetmen koltuğuna ise Deniz Kaloş'un oturduğu dram, gençlik ve aile türündeki Türk yapımı televizyon dizisidir. Dizi, 30 Ekim 2016 tarihinde yayımlanan 10. bölümü ile final yaparak sona erdi.",1,10,Onur Güvenatam,28 Ağustos 2016 - 30 Ekim 2016,,"""Arkadaş"" Şanar Yurdatapan"
"Aşk Laftan Anlamaz, Link",Makbule Kosif  Eda Tezcan,Müge UğurlarBahadır İnce,Hande Erçel Burak Deniz,Türkiye,Show TV (HD)  (2016-2017),Sona erdi,"Aşk Laftan Anlamaz, Tims Productions'ın yapımcılığını üstlendiği, 2016-2017 yılları arasında Show TV'de yayımlanan romantik komedi türündeki Türk televizyon dizisidir. Dizinin başrollerinde Hande Erçel ve Burak Deniz yer aldı. Dizi'nin yönetmenliğini Müge Uğurlar yaptı, senaryosunu Makbule Kosif ve Eda Tezcan kaleme aldı. Dizi, 19 Şubat 2017 tarihinde yayımlanan 31. bölümü ile final yaparak sona erdi.",1,31 (bölümleri listesi),Burak Sağyaşar,15 Haziran 2016 - 19 Şubat 2017,,
"Aşk ve Mavi, Link",Gül Abus SemerciYelda Eroğlu,Hakan Arslan,Emrah (1-74)Burcu KıratlıKeremcemCüneyt MeteKenan BalAyşegül ÜnsalIşıl Yücesoy (1-63),Türkiye,atv,Sona erdi,"Aşk ve Mavi, NTC Medya imzalı, 4 Kasım 2016 tarihinde atv'de yayımlanmaya başlayan, başrollerini Emrah (1-74), Burcu Kıratlı, Keremcem, Cüneyt Mete, Kenan Bal, Ayşegül Ünsal ve Işıl Yücesoy'un (1-63) paylaştığı, senaryosunu Gül Abus Semerci ve Yelda Eroğlu'nun yazdığı, yönetmen koltuğunda ise Hakan Arslan'ın oturduğu dram türündeki Türk yapımı televizyon dizisi. Toplam 3 sezondan oluşan dizi, 16 Kasım 2018 tarihinde yayımlanan 78. bölümü ile final yaparak sona erdi.",3,78,Mehmet Yiğit Alp,4 Kasım 2016 - 16 Kasım 2018,,Alp Yenier
"Bana Sevmeyi Anlat, Link",Deniz Akçay Katıksız,Mesude Erarslan,Kadir DoğuluSeda BakanMustafa Üstündağ,Türkiye,FOX,Sona erdi,"Bana Sevmeyi Anlat, Ay Yapım imzalı, 2016-2017 yılları arasında FOX'ta yayımlanan Türk yapımı dram ve romantik türdeki televizyon dizisidir.",1,22,Kerem ÇatayPelin Diştaş,26 Ağustos 2016 - 30 Ocak 2017,,
"Bodrum Masalı, Link",Başar Başaran  Emre Özdür,Mehmet Ada Öztekin,Timuçin EsenŞevval SamMurat Aygen,Türkiye,Kanal D,Yayından kaldırıldı,"Bodrum Masalı, TMC Film imzalı, ilk bölümü 18 Ağustos 2016 tarihinde yayımlanan,[1] yönetmenliğini Mehmet Ada Öztekin'in yaptığı, senaryosunu Başar Başaran ve Emre Özdür'ün birlikte kaleme aldığı, başrollerini Timuçin Esen, Şevval Sam ve Murat Aygen'in paylaştığı Türk yapımı romantik ve gençlik türündeki televizyon dizisi. Dizi, 18 Haziran 2017 tarihinde yayımlanan 42. bölümüyle sezon finali yaparak yayından kaldırılmıştır.[2]",1,42 (bölümleri listesi),Erol Avcı,18 Ağustos 2016 (2016-08-18) - 18 Haziran 2017 (2017-06-18),,
"Cesur ve Güzel, Link",Ece Yörenç,Ali Bilgin,Kıvanç Tatlıtuğ  Tuba Büyüküstün,Türkiye,Star TV,Sona erdi,"Cesur ve Güzel, yönetmenliğini Ali Bilgin'in yaptığı, senaryosunu Ece Yörenç'in yazdığı, Ay Yapım imzalı, 2016-2017 yılları arasında Star TV'de yayımlanan dram ve romantik türdeki Türk televizyon dizisidir. İlk bölümü 10 Kasım 2016 tarihinde yayımlanan dizi, 22 Haziran 2017 tarihinde yayımlanan 32. bölümü ile final yaparak sona ermiştir.",1,32 (bölümleri listesi),Kerem Çatay  Pelin Diştaş Yaşaroğlu,10 Kasım 2016 - 22 Haziran 2017,,
"Cesur Yürek, Link",Cüneyt AysanOzan Aksungur,Emre Kabakuşak,Onur TunaRüveyda ÖksüzHüseyin Avni DanyalHakan Yufkacıgil,Türkiye,Show TV,Sona erdi,"Cesur Yürek, Fark Film imzalı, yönetmenliğini Emre Kabakuşak'ın üstlendiği, başrollerini ise Onur Tuna, Rüveyda Öksüz, Hüseyin Avni Danyal ve Hakan Yufkacıgil'in paylaştıkları, 2016-2017 yılları arasında Show TV'de yayımlanan dram ve aksiyon türündeki Türk yapımı televizyon dizisidir. Dizi, düşük reytinglerden dolayı, 16 Mart 2017 tarihinde yayımlanan 21. bölümü ile final yaparak sona erdi.",1,21,Cüneyt Aysan,13 Ekim 2016 - 16 Mart 2017,,
"Çifte Saadet, Link",Enver Sülük,Bora Tekay,Fikret KuşkanŞebnem BozokluDolunay SoysertBora AkkaşDila DanışmanBedia Ener,Türkiye,FOX,Sona erdi,"Çifte Saadet, Pastel Film imzalı, ilk bölümü 6 Şubat 2016 tarihinde yayımlanan komedi ve aşk türündeki Türk televizyon dizisidir. Dizi, 16 Nisan 2016 tarihinde yayımlanan 11. bölümüyle final yaparak sona ermiştir.",1,11,Yaşar İrvül  Efe İrvül,6 Şubat 2016 - 16 Nisan 2016,,
"Familya, Link",Uğraş Güneş,Can Yücel,Uğur YücelErkan Kolçak KöstendilBülent Emrah ParlakMurat Ceylan,Türkiye,FOX,Sona erdi,"Familya, TMC Film imzalı, 20 Eylül 2016 ile 22 Kasım 2016 tarihleri arasında FOX'ta yayımlanan, başrollerini Uğur Yücel ve Erkan Kolçak Köstendil’in paylaştığı, senaristliğini Uğraş Güneş'in yaptığı, yönetmen koltuğuna Can Yücel'in oturduğu komedi ve aile türündeki Türk televizyon dizisidir. Dizi, 10. bölümü ile final yaparak sona erdi.",1,10 (bölümleri listesi),Erol Avcı,20 Eylül 2016 - 22 Kasım 2016,,
"Gecenin Kraliçesi, Link",Ozan AksungurCüneyt AysanYağmur TaylanDurul Taylan,Yağmur Taylan (1-2)Durul Taylan (1-2)Osman Taşcı (3-15)Burcu Alptekin (3-15),Murat YıldırımMeryem Uzerli,Türkiye,Star TV,Sona erdi,"Gecenin Kraliçesi, O3 Medya imzalı, 2016 yılında Star TV'de yayımlanan aşk ve dram türündeki Türk televizyon dizisidir. Dizinin başrollerinde Meryem Uzerli ve Murat Yıldırım yer aldı.[1] Dizi, 15. bölümü ile final yaparak sona erdi.",1,15,Onur Güvenatam,12 Ocak 2016 - 19 Nisan 2016,,
"Güldüy Güldüy Show Çocuk, Link",,Tuğçe Soysop,,Türkiye,Show TV,Sona erdi,"Güldüy Güldüy Show Çocuk ya da Güldüy Güldüy Show, Ezo Sunal tarafından 2016-2017 yılları arasında Show TV'de yayımlanan Güldür Güldür adlı programın çocuklar için düzenlenmiş versiyonudur.[1]",2,31,,1 Temmuz 2016 - 9 Eylül 2017,,
